in s,C1 in V
-5.90736E-04,2.747123E-01
-5.90720E-04,2.747123E-01
-5.90704E-04,2.745094E-01
-5.90688E-04,2.743267E-01
-5.90672E-04,2.736773E-01
-5.90656E-04,2.728858E-01
-5.90640E-04,2.746514E-01
-5.90624E-04,2.741846E-01
-5.90608E-04,2.740020E-01
-5.90592E-04,2.760111E-01
-5.90576E-04,2.745702E-01
-5.90560E-04,2.734135E-01
-5.90544E-04,2.745094E-01
-5.90528E-04,2.734135E-01
-5.90512E-04,2.753008E-01
-5.90496E-04,2.734743E-01
-5.90480E-04,2.758082E-01
-5.90464E-04,2.737991E-01
-5.90448E-04,2.748341E-01
-5.90432E-04,2.730279E-01
-5.90416E-04,2.732714E-01
-5.90400E-04,2.740020E-01
-5.90384E-04,2.749761E-01
-5.90368E-04,2.737382E-01
-5.90352E-04,2.748341E-01
-5.90336E-04,2.751588E-01
-5.90320E-04,2.740020E-01
-5.90304E-04,2.742455E-01
-5.90288E-04,2.741846E-01
-5.90272E-04,2.741846E-01
-5.90256E-04,2.753008E-01
-5.90240E-04,2.735352E-01
-5.90224E-04,2.736773E-01
-5.90208E-04,2.728858E-01
-5.90192E-04,2.734743E-01
-5.90176E-04,2.734135E-01
-5.90160E-04,2.737382E-01
-5.90144E-04,2.745702E-01
-5.90128E-04,2.746514E-01
-5.90112E-04,2.730279E-01
-5.90096E-04,2.744485E-01
-5.90080E-04,2.737382E-01
-5.90064E-04,2.738599E-01
-5.90048E-04,2.740629E-01
-5.90032E-04,2.736773E-01
-5.90016E-04,2.731496E-01
-5.90000E-04,2.735352E-01
-5.89984E-04,2.727641E-01
-5.89968E-04,2.737991E-01
-5.89952E-04,2.724393E-01
-5.89936E-04,2.730888E-01
-5.89920E-04,2.732714E-01
-5.89904E-04,2.725002E-01
-5.89888E-04,2.743876E-01
-5.89872E-04,2.723785E-01
-5.89856E-04,2.724393E-01
-5.89840E-04,2.734135E-01
-5.89824E-04,2.741238E-01
-5.89808E-04,2.721146E-01
-5.89792E-04,2.727641E-01
-5.89776E-04,2.735352E-01
-5.89760E-04,2.727641E-01
-5.89744E-04,2.735352E-01
-5.89728E-04,2.730279E-01
-5.89712E-04,2.728249E-01
-5.89696E-04,2.722973E-01
-5.89680E-04,2.730888E-01
-5.89664E-04,2.739208E-01
-5.89648E-04,2.732105E-01
-5.89632E-04,2.725611E-01
-5.89616E-04,2.734135E-01
-5.89600E-04,2.725002E-01
-5.89584E-04,2.740020E-01
-5.89568E-04,2.716479E-01
-5.89552E-04,2.728858E-01
-5.89536E-04,2.733526E-01
-5.89520E-04,2.733526E-01
-5.89504E-04,2.732105E-01
-5.89488E-04,2.725611E-01
-5.89472E-04,2.722364E-01
-5.89456E-04,2.729467E-01
-5.89440E-04,2.730279E-01
-5.89424E-04,2.737991E-01
-5.89408E-04,2.717290E-01
-5.89392E-04,2.735961E-01
-5.89376E-04,2.719117E-01
-5.89360E-04,2.717290E-01
-5.89344E-04,2.709985E-01
-5.89328E-04,2.700243E-01
-5.89312E-04,2.716479E-01
-5.89296E-04,2.712014E-01
-5.89280E-04,2.717290E-01
-5.89264E-04,2.718508E-01
-5.89248E-04,2.709985E-01
-5.89232E-04,2.719117E-01
-5.89216E-04,2.712014E-01
-5.89200E-04,2.715870E-01
-5.89184E-04,2.712014E-01
-5.89168E-04,2.708158E-01
-5.89152E-04,2.717290E-01
-5.89136E-04,2.702273E-01
-5.89120E-04,2.717899E-01
-5.89104E-04,2.716479E-01
-5.89088E-04,2.724393E-01
-5.89072E-04,2.720538E-01
-5.89056E-04,2.718508E-01
-5.89040E-04,2.710796E-01
-5.89024E-04,2.718508E-01
-5.89008E-04,2.710796E-01
-5.88992E-04,2.710796E-01
-5.88976E-04,2.711405E-01
-5.88960E-04,2.715261E-01
-5.88944E-04,2.719117E-01
-5.88928E-04,2.702273E-01
-5.88912E-04,2.712623E-01
-5.88896E-04,2.713232E-01
-5.88880E-04,2.715261E-01
-5.88864E-04,2.709985E-01
-5.88848E-04,2.714043E-01
