in s,C2 in V
-2.9804010E+00,-7.6370239E-01
-2.9803553E+00,-7.6126099E-01
-2.9803095E+00,-7.6309204E-01
-2.9802637E+00,-7.6156616E-01
-2.9802179E+00,-7.6065063E-01
-2.9801721E+00,-7.6095581E-01
-2.9801263E+00,-7.6095581E-01
-2.9800806E+00,-7.6309204E-01
-2.9800348E+00,-7.6461792E-01
-2.9799890E+00,-7.5942993E-01
-2.9799432E+00,-7.6156616E-01
-2.9798974E+00,-7.6248169E-01
-2.9798516E+00,-7.5637817E-01
-2.9798059E+00,-7.5515747E-01
-2.9797601E+00,-7.5393677E-01
-2.9797143E+00,-7.5637817E-01
-2.9796685E+00,-7.5180054E-01
-2.9796227E+00,-7.5180054E-01
-2.9795769E+00,-7.5271606E-01
-2.9795312E+00,-7.5637817E-01
-2.9794854E+00,-7.5393677E-01
-2.9794396E+00,-7.5393677E-01
-2.9793938E+00,-7.5119019E-01
-2.9793480E+00,-7.5576782E-01
-2.9793022E+00,-7.5637817E-01
-2.9792564E+00,-7.5515747E-01
-2.9792107E+00,-7.5790405E-01
-2.9791649E+00,-7.5759888E-01
-2.9791191E+00,-7.5698853E-01
-2.9790733E+00,-7.5973511E-01
-2.9790275E+00,-7.5302124E-01
-2.9789817E+00,-7.5637817E-01
-2.9789360E+00,-7.5546265E-01
-2.9788902E+00,-7.5698853E-01
-2.9788444E+00,-7.5881958E-01
-2.9787986E+00,-7.5576782E-01
-2.9787528E+00,-7.5759888E-01
-2.9787070E+00,-7.6095581E-01
-2.9786613E+00,-7.5485229E-01
-2.9786155E+00,-7.5302124E-01
-2.9785697E+00,-7.5485229E-01
-2.9785239E+00,-7.5942993E-01
-2.9784781E+00,-7.5729370E-01
-2.9784323E+00,-7.5851440E-01
-2.9783866E+00,-7.5607300E-01
-2.9783408E+00,-7.6217651E-01
-2.9782950E+00,-7.6126099E-01
-2.9782492E+00,-7.6187134E-01
-2.9782034E+00,-7.5729370E-01
-2.9781576E+00,-7.5698853E-01
-2.9781118E+00,-7.5637817E-01
-2.9780661E+00,-7.5698853E-01
-2.9780203E+00,-7.5759888E-01
-2.9779745E+00,-7.5668335E-01
-2.9779287E+00,-7.5973511E-01
-2.9778829E+00,-7.5729370E-01
-2.9778371E+00,-7.5729370E-01
-2.9777914E+00,-7.5637817E-01
-2.9777456E+00,-7.5729370E-01
-2.9776998E+00,-7.5668335E-01
-2.9776540E+00,-7.6034546E-01
-2.9776082E+00,-7.5668335E-01
-2.9775624E+00,-7.5637817E-01
-2.9775167E+00,-7.5729370E-01
-2.9774709E+00,-7.6004028E-01
-2.9774251E+00,-7.6217651E-01
-2.9773793E+00,-7.6248169E-01
-2.9773335E+00,-7.6431274E-01
-2.9772877E+00,-7.6339722E-01
-2.9772420E+00,-7.6431274E-01
-2.9771962E+00,-7.6248169E-01
-2.9771504E+00,-7.6278687E-01
-2.9771046E+00,-7.6431274E-01
-2.9770588E+00,-7.6309204E-01
-2.9770130E+00,-7.6400757E-01
-2.9769672E+00,-7.6736450E-01
-2.9769215E+00,-7.6797485E-01
-2.9768757E+00,-7.7255249E-01
-2.9768299E+00,-7.7133179E-01
-2.9767841E+00,-7.7377319E-01
-2.9767383E+00,-7.7072144E-01
-2.9766925E+00,-7.6644897E-01
-2.9766468E+00,-7.6644897E-01
-2.9766010E+00,-7.6583862E-01
-2.9765552E+00,-7.7102661E-01
-2.9765094E+00,-7.7163696E-01
-2.9764636E+00,-7.6736450E-01
-2.9764178E+00,-7.6522827E-01
-2.9763721E+00,-7.6400757E-01
-2.9763263E+00,-7.6370239E-01
-2.9762805E+00,-7.6370239E-01
-2.9762347E+00,-7.6492310E-01
-2.9761889E+00,-7.6278687E-01
-2.9761431E+00,-7.6187134E-01
-2.9760974E+00,-7.6431274E-01
-2.9760516E+00,-7.6248169E-01
-2.9760058E+00,-7.6126099E-01
-2.9759600E+00,-7.6156616E-01
-2.9759142E+00,-7.6492310E-01
-2.9758684E+00,-7.6034546E-01
-2.9758226E+00,-7.6339722E-01
-2.9757769E+00,-7.6370239E-01
-2.9757311E+00,-7.6339722E-01
-2.9756853E+00,-7.5790405E-01
-2.9756395E+00,-7.5119019E-01
-2.9755937E+00,-7.5637817E-01
-2.9755479E+00,-7.5637817E-01
-2.9755022E+00,-7.5607300E-01
-2.9754564E+00,-7.5546265E-01
-2.9754106E+00,-7.5454712E-01
-2.9753648E+00,-7.5820923E-01
-2.9753190E+00,-7.6217651E-01
-2.9752732E+00,-7.6339722E-01
-2.9752275E+00,-7.6004028E-01
-2.9751817E+00,-7.6370239E-01
-2.9751359E+00,-7.6431274E-01
-2.9750901E+00,-7.6492310E-01
-2.9750443E+00,-7.6217651E-01
-2.9749985E+00,-7.6187134E-01
-2.9749528E+00,-7.6339722E-01
-2.9749070E+00,-7.6400757E-01
-2.9748612E+00,-7.6217651E-01
-2.9748154E+00,-7.6278687E-01
-2.9747696E+00,-7.6614380E-01
-2.9747238E+00,-7.6858521E-01
-2.9746780E+00,-7.6339722E-01
-2.9746323E+00,-7.6309204E-01
-2.9745865E+00,-7.6644897E-01
-2.9745407E+00,-7.6248169E-01
-2.9744949E+00,-7.6126099E-01
-2.9744491E+00,-7.6065063E-01
-2.9744033E+00,-7.5698853E-01
-2.9743576E+00,-7.5637817E-01
-2.9743118E+00,-7.5790405E-01
-2.9742660E+00,-7.5515747E-01
-2.9742202E+00,-7.5576782E-01
-2.9741744E+00,-7.5729370E-01
-2.9741286E+00,-7.5912476E-01
-2.9740829E+00,-7.5851440E-01
